0,My Favourite Songs,5376;2;1039;1075;4835;3722;4099;10,User1,1
1,Playlist 2,1069;1082;1073,User1,0
416525648,Playlist A,,user,1
655889436,Playlist A,,user,1
668888856,Playlist A,,user,1
708716152,Playlist A,,user,1
10,Playlist 3,,User2,1
-845643118,Playlist A,,user,1
1297416859,Playlist A,,user,1
698600044,Playlist A,,user,1
-1912092777,Playlist A,,user,1
297102564,Playlist A,,user,1
-1595754831,Playlist A,,user,1
570849491,Playlist A,,user,1
530900785,Playlist A,,user,1
-1711259818,Playlist A,,user,1
100,Playlist A,,user,1
719782593,Playlist A,,user,1
838515229,Playlist A,,user,1
731769969,Playlist A,,user,1
-1799981821,Playlist A,,user,1
-86737105,Playlist A,,user,1
-1859021618,Playlist A,,user,1
